,Player,Base Price,TYPE,COST IN ₹ (CR.),Cost IN $ (000),2022 Squad,Team,Base Price IN ₹,Base Price IN $
380,Abishek Porel,,WICKETKEEPER,,,,Unsold,2000000.0,24000.0
381,Bharat Sharma,,WICKETKEEPER,,,,Unsold,2000000.0,24000.0
382,Vivek Singh,,WICKETKEEPER,,,,Unsold,2000000.0,24000.0
383,Abhijeet Tomar,,WICKETKEEPER,,,KKR,Unsold,2000000.0,24000.0
384,Basit Bashir,,BOWLER,,,,Unsold,2000000.0,24000.0
385,Nandre Burger,,BOWLER,,,,Unsold,2000000.0,24000.0
386,Rasikh Dar,,BOWLER,,,KKR,Unsold,2000000.0,24000.0
387,Sakib Hussain,,BOWLER,,,,Unsold,2000000.0,24000.0
388,Waseem Khanday,,BOWLER,,,,Unsold,2000000.0,24000.0
389,Ravi Kiran Majeti,,BOWLER,,,,Unsold,2000000.0,24000.0
390,Lukman Hussain Meriwala,,BOWLER,,,,Unsold,2000000.0,24000.0
391,Anuj Raj,,BOWLER,,,,Unsold,2000000.0,24000.0
392,Ankit Singh Rajpoot,,BOWLER,,,LSG,Unsold,2000000.0,24000.0
393,Prince Yadav,,BOWLER,,,,Unsold,2000000.0,24000.0
394,Prithviraj Yarra,,BOWLER,,,,Unsold,2000000.0,24000.0
395,Mushtaq Beg,,BOWLER,,,,Unsold,2000000.0,24000.0
396,Rocky Bhasker,,BOWLER,,,,Unsold,2000000.0,24000.0
397,Sanjith Devaraj,,BOWLER,,,,Unsold,2000000.0,24000.0
398,Allah Mohammad,,BOWLER,,,,Unsold,2000000.0,24000.0
399,Lalit Mohan,,BOWLER,,,,Unsold,2000000.0,24000.0
400,Bhuwan Rohilla,,BOWLER,,,,Unsold,2000000.0,24000.0
401,Aman Sharma,,BOWLER,,,,Unsold,2000000.0,24000.0
402,Manav Suthar,,BOWLER,,,,Unsold,2000000.0,24000.0
403,Tom Curran,,ALL-ROUNDER,,,,Unsold,7500000.0,90000.0
404,Moises Henriques,,ALL-ROUNDER,,,,Unsold,10000000.0,120000.0
405,Afif Hossain,,ALL-ROUNDER,,,,Unsold,5000000.0,60000.0
406,Scott Kuggeleijn,,ALL-ROUNDER,,,,Unsold,5000000.0,60000.0
407,Sisanda Magala,,ALL-ROUNDER,,,,Unsold,5000000.0,60000.0
408,Craig Overton,,ALL-ROUNDER,,,,Unsold,20000000.0,240000.0
409,Darcy Short,,ALL-ROUNDER,,,,Unsold,7500000.0,90000.0
410,Dhananjaya Silva,,ALL-ROUNDER,,,,Unsold,5000000.0,60000.0
411,Dunith Wellalage,,ALL-ROUNDER,,,,Unsold,5000000.0,60000.0
412,Varun Aaron,,BOWLER,,,GT,Unsold,5000000.0,60000.0
413,Sheldon Cottrel,,BOWLER,,,,Unsold,5000000.0,60000.0
414,Nathan Coulter-Nile,,BOWLER,,,RR,Unsold,1500000.0,18000.0
415,Daryn Dupavillon,,BOWLER,,,,Unsold,5000000.0,60000.0
416,Matt Henry,,BOWLER,,,,Unsold,10000000.0,120000.0
417,Dhawal Kulkarni,,BOWLER,,,,Unsold,5000000.0,60000.0
418,Tymal Mills,,BOWLER,,,MI,Unsold,20000000.0,240000.0
419,David Payne,,BOWLER,,,,Unsold,7500000.0,90000.0
420,Barinder Sran,,BOWLER,,,,Unsold,5000000.0,60000.0
421,Glenton Stuurman,,BOWLER,,,,Unsold,5000000.0,60000.0
422,Anirudh Balachander,,BATSMAN,,,,Unsold,2000000.0,24000.0
423,Gourav Choudhary,,BATSMAN,,,,Unsold,2000000.0,24000.0
424,Saurav Chuahan,,BATSMAN,,,,Unsold,2000000.0,24000.0
425,Kumar Deobrat,,BATSMAN,,,,Unsold,2000000.0,24000.0
426,Chirag Gandhi,,BATSMAN,,,,Unsold,2000000.0,24000.0
427,Arman Jaffer,,BATSMAN,,,,Unsold,2000000.0,24000.0
428,Madhav Kaushik,,BATSMAN,,,,Unsold,2000000.0,24000.0
429,Priyank Panchal,,BATSMAN,,,,Unsold,2000000.0,24000.0
430,Ayush Pandey,,BATSMAN,,,,Unsold,2000000.0,24000.0
431,Rohan Patil,,BATSMAN,,,,Unsold,2000000.0,24000.0
432,Sanjay Ramaswamy,,BATSMAN,,,,Unsold,2000000.0,24000.0
433,Siddharth Yadav,,BATSMAN,,,,Unsold,2000000.0,24000.0
434,Rehan Ahmed,,ALL-ROUNDER,,,,Unsold,4000000.0,48000.0
435,Prayas Barman,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
436,Rahul Buddhi,,ALL-ROUNDER,,,MI,Unsold,2000000.0,24000.0
437,Vaisakh Chandran,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
438,Writtick Chatterjee,,ALL-ROUNDER,,,PBKS,Unsold,2000000.0,24000.0
439,Prashant Chopra,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
440,Harsh Dubey,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
441,Tanush Kotian,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
442,Ninad Rathva,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
443,B. Surya,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
444,Jordan Thompson,,ALL-ROUNDER,,,,Unsold,4000000.0,48000.0
445,Shivank Vashisth,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
446,Ankush Bains,,WICKETKEEPER,,,,Unsold,2000000.0,24000.0
447,Christopher Benjamin,,WICKETKEEPER,,,,Unsold,2000000.0,24000.0
448,Connor Esterhuizen,,WICKETKEEPER,,,,Unsold,2000000.0,24000.0
449,Mohd Arslan Khan,,WICKETKEEPER,,,,Unsold,2000000.0,24000.0
450,Mamidi Krishna,,WICKETKEEPER,,,,Unsold,2000000.0,24000.0
451,Fazil Makaya,,WICKETKEEPER,,,,Unsold,2000000.0,24000.0
452,Akshdeep Nath,,WICKETKEEPER,,,,Unsold,2000000.0,24000.0
453,Deepak Punia,,WICKETKEEPER,,,,Unsold,2000000.0,24000.0
454,Ateev Saini,,WICKETKEEPER,,,,Unsold,2000000.0,24000.0
455,Bipin Saurabh,,WICKETKEEPER,,,,Unsold,2000000.0,24000.0
456,B.R. Sharath,,WICKETKEEPER,,,,Unsold,2000000.0,24000.0
457,Yashovardhan Singh,,WICKETKEEPER,,,,Unsold,2000000.0,24000.0
458,Lakshay Thareja,,WICKETKEEPER,,,,Unsold,2000000.0,24000.0
459,Mohit Avasthi,,BOWLER,,,,Unsold,2000000.0,24000.0
460,Ottneil Baartman,,BOWLER,,,,Unsold,2000000.0,24000.0
461,Gurnoor Singh Brar,,BOWLER,,,,Unsold,2000000.0,24000.0
462,Shahrukh Dar,,BOWLER,,,,Unsold,2000000.0,24000.0
463,Thomas Helm,,BOWLER,,,,Unsold,4000000.0,48000.0
464,Pankaj Jaswal,,BOWLER,,,,Unsold,2000000.0,24000.0
465,Venkatesh Muralidhara,,BOWLER,,,,Unsold,2000000.0,24000.0
466,Geet Puri,,BOWLER,,,,Unsold,2000000.0,24000.0
467,E. Sanketh,,BOWLER,,,,Unsold,2000000.0,24000.0
468,Ajay Sarkar,,BOWLER,,,,Unsold,2000000.0,24000.0
469,Ashok Sharma,,BOWLER,,,,Unsold,2000000.0,24000.0
470,Kanwar Singh,,BOWLER,,,,Unsold,2000000.0,24000.0
471,Fabian Allen,,ALL-ROUNDER,,,MI,Unsold,5000000.0,60000.0
472,Carlos Brathwaite,,ALL-ROUNDER,,,,Unsold,7500000.0,90000.0
473,Roston Chase,,ALL-ROUNDER,,,,Unsold,10000000.0,120000.0
474,Rahkeem Cornwall,,ALL-ROUNDER,,,,Unsold,10000000.0,120000.0
475,Karim Janat,,ALL-ROUNDER,,,,Unsold,5000000.0,60000.0
476,Keshav Maharaj,,ALL-ROUNDER,,,,Unsold,5000000.0,60000.0
477,Pawan Negi,,ALL-ROUNDER,,,,Unsold,5000000.0,60000.0
478,Keemo Paul,,ALL-ROUNDER,,,,Unsold,5000000.0,60000.0
479,Shivam Chaudhary,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
480,Ashwin Das,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
481,James Fuller,,ALL-ROUNDER,,,,Unsold,4000000.0,48000.0
482,Chirag Jani,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
483,Akshay Karnewar,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
484,Bhagmender Lather,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
485,Lone Muzaffar,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
486,Pulkit Narang,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
487,Rohit Rayudu,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
488,Sameer Rizvi,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
489,Tunish Sawkar,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
490,Auqib Dar,,BOWLER,,,,Unsold,2000000.0,24000.0
491,Mukhtar Hussain,,BOWLER,,,,Unsold,2000000.0,24000.0
492,Ashwani Kumar,,BOWLER,,,,Unsold,2000000.0,24000.0
493,Hemant Kumar,,BOWLER,,,,Unsold,2000000.0,24000.0
494,Nathan McAndrew,,BOWLER,,,,Unsold,2000000.0,24000.0
495,Rajesh Mohanty,,BOWLER,,,,Unsold,2000000.0,24000.0
496,Ravi Sharma,,BOWLER,,,,Unsold,2000000.0,24000.0
497,Vikash Singh,,BOWLER,,,,Unsold,2000000.0,24000.0
498,Ruben Trumpelmann,,BOWLER,,,,Unsold,2000000.0,24000.0
499,Koushik Vasuki,,BOWLER,,,,Unsold,2000000.0,24000.0
500,Vasu Vats,,BOWLER,,,,Unsold,2000000.0,24000.0
501,Shubham Agrawal,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
502,Baba Aparajith,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
503,Anshul Kamboj,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
504,Azim Kazi,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
505,Dev Lakra,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
506,Jitender Pal,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
507,Ritwik Roy Chowdhury,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
508,Utkarsh Singh,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
509,Shubham Singh,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
510,Avneesh Sudha,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
511,Asad Jamil Ahmed,,BOWLER,,,,Unsold,2000000.0,24000.0
512,Bandaru Ayyappa,,BOWLER,,,,Unsold,2000000.0,24000.0
513,Aashish Bhatt,,BOWLER,,,,Unsold,2000000.0,24000.0
514,McKenny Clarke,,BOWLER,,,,Unsold,2000000.0,24000.0
515,Shubham Kapse,,BOWLER,,,,Unsold,2000000.0,24000.0
516,Gourav Koul,,BOWLER,,,,Unsold,2000000.0,24000.0
517,Raunak Kumar,,BOWLER,,,,Unsold,2000000.0,24000.0
518,Trilok Nag,,BOWLER,,,,Unsold,2000000.0,24000.0
519,Atal Bihari Rai,,BOWLER,,,,Unsold,2000000.0,24000.0
520,Ramon Simmonds,,BOWLER,,,,Unsold,2000000.0,24000.0
521,Rajeev Singh,,BOWLER,,,,Unsold,2000000.0,24000.0
522,Mohd. Wasim,,BOWLER,,,,Unsold,2000000.0,24000.0
523,Atharva Ankolekar,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
524,Khizar Dafedar,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
525,Naman Dhir,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
526,Sahil Dhiwan,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
527,Sampark Gupta,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
528,Jordan Hermann,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
529,Hayden Kerr,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
530,Salman Khan,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
531,Sairaj Patil,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
532,Divyaansh Saxena,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
533,Purnank Tyagi,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
534,Prince Yadav,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
535,Deepraj Gaonkar,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
536,Shubham Garhwal,,ALL-ROUNDER,,,RR,Unsold,2000000.0,24000.0
537,Benny Howell,,ALL-ROUNDER,,,PBKS,Unsold,4000000.0,48000.0
538,Deepesh Nailwal,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
539,Arjun Rapria,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
540,Shashwat Rawat,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
541,Sumit Ruikar,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
542,Shivam Sharma,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
543,Rajandeep Singh,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
544,Anunay Singh,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
545,Digvesh Singh,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
546,Pranshu Vijayran,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
547,Prerit Dutta,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
548,Ramakrishna Ghosh,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
549,Shubhang Hegde,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
550,Shamshuzama Kazi,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
551,Ayaz Khan,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
552,Amit Pachhara,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
553,Akul Pandove,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
554,Garv Sangwan,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
555,Shubham Sharma,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
556,Amit Yadav,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
557,Amit Ali,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
558,Rishabh Chauhan,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
559,Matthew Forde,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
560,Sammar Gajjar,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
561,Rajneesh Gurbani,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
562,Divyansh Joshi,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
563,Dhruv Patel,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
564,Jack Prestwidge,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
565,Aditya Sarvate,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
566,Sagar Solanki,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
567,Prenelan Subrayen,,ALL-ROUNDER,,,,Unsold,2000000.0,24000.0
